mxq_label,mxq_path,rep,sid,sap,sap_small,sap_medium,sap_large,npu_infer_ms,skip_pct,run_timestamp
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,0,0.0584,0.0115,0.1034,0.4349,13.56,0.0,1781266156
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,1,0.0634,0.0014,0.0651,0.2252,9.93,0.0,1781266166
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,2,0.109,0.0113,0.1426,0.5659,10.63,0.0,1781266172
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,3,0.1214,0.0005,0.1816,0.339,10.04,0.0,1781266177
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,4,0.2047,0.0,0.0816,0.5458,10.2,0.0,1781266185
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,5,0.4381,0.0098,0.1728,0.6224,10.31,0.0,1781266190
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,6,0.0947,0.0091,0.0875,0.3392,10.02,0.0,1781266195
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,7,0.2013,0.0,0.1478,0.4071,9.88,0.0,1781266200
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,8,0.0721,0.0073,0.0826,0.3962,10.27,0.0,1781266210
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,9,0.1516,0.0018,0.1277,0.3154,10.29,0.0,1781266218
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,10,0.1461,0.0178,0.1443,0.323,9.91,0.0,1781266224
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,11,0.2809,0.0048,0.1643,0.6074,11.79,0.0,1781266236
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,12,0.4335,0.0283,0.3744,0.8884,10.08,0.0,1781266241
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,13,0.1874,0.0038,0.0861,0.3991,9.75,0.0,1781266251
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,14,0.4114,0.0136,0.199,0.6555,9.56,0.0,1781266261
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,15,0.1085,0.0092,0.1121,0.3863,9.67,0.0,1781266270
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,16,0.3591,0.0051,0.4956,0.6831,10.05,0.0,1781266275
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,17,0.2077,0.0104,0.1878,0.6044,10.19,0.0,1781266281
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,18,0.1833,0.0073,0.0859,0.721,9.6,0.0,1781266290
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,19,0.1055,0.0082,0.0882,0.3777,9.91,0.0,1781266295
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,20,0.1047,0.0076,0.0698,0.3161,10.08,0.0,1781266301
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,21,0.0836,0.0014,0.0244,0.2127,10.13,0.0,1781266306
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,22,0.1912,0.001,0.1733,0.614,10.51,0.0,1781266312
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,0,23,0.1438,0.0267,0.147,0.4757,9.96,0.0,1781266317
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,0,0.0584,0.0115,0.1034,0.4349,9.71,0.0,1781266327
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,1,0.0634,0.0014,0.0651,0.2252,9.55,0.0,1781266336
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,2,0.109,0.0113,0.1426,0.5659,10.31,0.0,1781266342
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,3,0.1214,0.0005,0.1816,0.339,10.17,0.0,1781266348
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,4,0.2047,0.0,0.0816,0.5458,10.04,0.0,1781266355
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,5,0.4381,0.0098,0.1728,0.6224,10.08,0.0,1781266360
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,6,0.0947,0.0091,0.0875,0.3392,9.86,0.0,1781266366
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,7,0.2013,0.0,0.1478,0.4071,9.81,0.0,1781266370
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,8,0.0721,0.0073,0.0826,0.3962,10.23,0.0,1781266381
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,9,0.1516,0.0018,0.1277,0.3154,10.21,0.0,1781266388
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,10,0.1461,0.0178,0.1443,0.323,9.78,0.0,1781266394
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,11,0.2809,0.0048,0.1643,0.6074,10.26,0.0,1781266405
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,12,0.4335,0.0283,0.3744,0.8884,10.16,0.0,1781266410
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,13,0.1874,0.0038,0.0861,0.3991,9.59,0.0,1781266419
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,14,0.4114,0.0136,0.199,0.6555,9.47,0.0,1781266429
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,15,0.1085,0.0092,0.1121,0.3863,9.62,0.0,1781266438
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,16,0.3591,0.0051,0.4956,0.6831,10.24,0.0,1781266443
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,17,0.2077,0.0104,0.1878,0.6044,10.32,0.0,1781266449
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,18,0.1833,0.0073,0.0859,0.721,9.45,0.0,1781266458
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,19,0.1055,0.0082,0.0882,0.3777,9.99,0.0,1781266464
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,20,0.1047,0.0076,0.0698,0.3161,9.91,0.0,1781266469
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,21,0.0836,0.0014,0.0244,0.2127,9.91,0.0,1781266475
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,22,0.1912,0.001,0.1733,0.614,10.24,0.0,1781266480
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,1,23,0.1438,0.0267,0.147,0.4757,9.78,0.0,1781266485
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,0,0.0584,0.0115,0.1034,0.4349,9.49,0.0,1781266495
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,1,0.0634,0.0014,0.0651,0.2252,9.64,0.0,1781266504
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,2,0.109,0.0113,0.1426,0.5659,10.38,0.0,1781266510
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,3,0.1214,0.0005,0.1816,0.339,10.04,0.0,1781266515
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,4,0.2047,0.0,0.0816,0.5458,10.11,0.0,1781266523
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,5,0.4381,0.0098,0.1728,0.6224,10.17,0.0,1781266528
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,6,0.0947,0.0091,0.0875,0.3392,9.91,0.0,1781266533
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,7,0.2013,0.0,0.1478,0.4071,9.73,0.0,1781266538
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,8,0.0721,0.0073,0.0826,0.3962,10.14,0.0,1781266548
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,9,0.1516,0.0018,0.1277,0.3154,10.46,0.0,1781266556
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,10,0.1461,0.0178,0.1443,0.323,9.76,0.0,1781266562
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,11,0.2809,0.0048,0.1643,0.6074,10.34,0.0,1781266573
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,12,0.4335,0.0283,0.3744,0.8884,10.08,0.0,1781266578
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,13,0.1874,0.0038,0.0861,0.3991,9.74,0.0,1781266588
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,14,0.4114,0.0136,0.199,0.6555,9.46,0.0,1781266597
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,15,0.1085,0.0092,0.1121,0.3863,9.64,0.0,1781266606
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,16,0.3591,0.0051,0.4956,0.6831,10.23,0.0,1781266612
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,17,0.2077,0.0104,0.1878,0.6044,10.08,0.0,1781266617
