N,resnet_k,gpu_skip,npu_skip,strategy,worst_sap,worst_std,n_reps
2,0,0.0,0.0,All-GPU,0.1149,0.0,3
2,0,0.0,0.0,All-NPU,0.0836,0.0,3
2,1,0.1,0.0,All-GPU,0.1149,0.0,3
2,1,0.0,0.0,All-NPU,0.0836,0.0,3
2,2,4.8,0.0,All-GPU,0.1122,0.0012,3
2,2,0.0,0.0,All-NPU,0.0836,0.0,3
2,3,13.6,0.0,All-GPU,0.1055,0.0018,3
2,3,0.0,0.0,All-NPU,0.0836,0.0,3
2,4,23.1,0.0,All-GPU,0.1031,0.0042,3
2,4,0.0,0.0,All-NPU,0.0836,0.0,3
2,6,41.2,0.0,All-GPU,0.0885,0.0042,3
2,6,0.0,0.0,All-NPU,0.0836,0.0,3
2,8,54.5,0.0,All-GPU,0.0793,0.0002,3
2,8,0.0,0.0,All-NPU,0.0836,0.0,3
4,0,0.1,0.0,All-GPU,0.1149,0.0,3
4,0,0.0,0.0,All-NPU,0.0836,0.0,3
4,1,42.0,0.0,All-GPU,0.0879,0.0063,3
4,1,0.0,0.0,All-NPU,0.0836,0.0,3
4,2,57.9,0.0,All-GPU,0.0765,0.0027,3
4,2,0.0,0.0,All-NPU,0.0836,0.0,3
4,3,67.3,0.0,All-GPU,0.0739,0.0006,3
4,3,0.0,0.0,All-NPU,0.0836,0.0,3
4,4,71.5,0.0,All-GPU,0.0719,0.0013,3
4,4,0.0,0.1,All-NPU,0.0836,0.0,3
4,6,73.5,0.0,All-GPU,0.07,0.0015,3
4,6,0.0,0.0,All-NPU,0.0836,0.0,3
4,8,79.2,0.0,All-GPU,0.0663,0.0022,3
4,8,0.0,0.0,All-NPU,0.0836,0.0,3
8,0,63.8,0.0,All-GPU,0.0701,0.0017,3
8,0,0.0,0.2,All-NPU,0.0836,0.0,3
8,1,71.9,0.0,All-GPU,0.0556,0.0007,3
8,1,0.0,1.0,All-NPU,0.0833,0.0003,3
8,2,75.9,0.0,All-GPU,0.0554,0.001,3
8,2,0.0,3.0,All-NPU,0.0814,0.0007,3
8,3,78.4,0.0,All-GPU,0.0559,0.0009,3
8,3,0.0,4.2,All-NPU,0.0802,0.002,3
8,4,82.0,0.0,All-GPU,0.0561,0.0009,3
8,4,0.0,4.7,All-NPU,0.0805,0.001,3
8,6,83.9,0.0,All-GPU,0.0532,0.0017,3
8,6,0.0,4.1,All-NPU,0.0815,0.0013,3
8,8,87.9,0.0,All-GPU,0.0507,0.0015,3
8,8,0.0,4.7,All-NPU,0.0811,0.0011,3
